,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
129,83,0.0,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 06:45:00
130,83,8.636,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 08:02:00
131,83,9.652,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 08:21:00
132,83,10.922,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 09:17:00
133,83,13.716,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 10:30:00
134,83,16.51,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 11:31:00
135,83,19.304,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 12:25:00
136,83,19.304,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 13:32:00
137,83,22.098,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 14:32:00
138,83,22.098,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 15:47:00
139,83,23.114,0,0.0,0.0,a,1963-11-21 06:45:00,1963-11-21 16:46:00
140,83,0.0,0,0.0,0.0,a,1963-12-10 11:00:00,1963-12-10 11:00:00
141,83,6.35,0,2.0,0.0,a,1963-12-10 11:00:00,1963-12-10 16:30:00
142,83,0.0,0,0.0,0.0,a,1963-12-11 09:45:00,1963-12-11 09:45:00
143,83,0.508,0,2.0,0.0,a,1963-12-11 09:45:00,1963-12-11 10:45:00
144,83,0.0,0,0.0,0.0,a,1963-12-11 23:00:00,1963-12-11 23:00:00
145,83,0.508,0,2.0,0.0,a,1963-12-11 23:00:00,1963-12-12 00:00:00
146,83,0.0,0,0.0,0.0,a,1963-12-12 03:00:00,1963-12-12 03:00:00
147,83,0.762,0,2.0,0.0,a,1963-12-12 03:00:00,1963-12-12 04:00:00
148,83,0.0,0,0.0,0.0,a,1964-01-23 10:00:00,1964-01-23 10:00:00
149,83,1.27,0,2.0,0.0,a,1964-01-23 10:00:00,1964-01-23 12:00:00
150,83,0.0,0,0.0,0.0,a,1964-01-28 00:15:00,1964-01-28 00:15:00
151,83,1.778,0,0.0,0.0,a,1964-01-28 00:15:00,1964-01-28 00:35:00
152,83,2.54,0,0.0,0.0,a,1964-01-28 00:15:00,1964-01-28 00:50:00
153,83,5.08,0,0.0,0.0,a,1964-01-28 00:15:00,1964-01-28 01:15:00
154,83,0.0,0,0.0,0.0,a,1964-03-02 23:30:00,1964-03-02 23:30:00
155,83,2.54,0,2.0,0.0,a,1964-03-02 23:30:00,1964-03-03 00:00:00
156,83,3.048,0,2.0,0.0,a,1964-03-02 23:30:00,1964-03-03 00:15:00
157,83,0.0,0,0.0,0.0,a,1964-03-03 10:00:00,1964-03-03 10:00:00
158,83,1.778,0,2.0,0.0,a,1964-03-03 10:00:00,1964-03-03 11:00:00
159,83,0.0,0,0.0,0.0,a,1964-03-17 22:15:00,1964-03-17 22:15:00
160,83,3.302,0,2.0,0.0,a,1964-03-17 22:15:00,1964-03-17 22:50:00
161,83,0.0,0,0.0,0.0,a,1964-03-18 04:45:00,1964-03-18 04:45:00
162,83,7.62,0,2.0,0.0,a,1964-03-18 04:45:00,1964-03-18 12:00:00
163,83,0.0,0,0.0,0.0,a,1964-04-03 07:30:00,1964-04-03 07:30:00
164,83,2.54,0,2.0,0.0,a,1964-04-03 07:30:00,1964-04-03 08:30:00
165,83,0.0,0,0.0,0.0,a,1964-04-03 23:30:00,1964-04-03 23:30:00
166,83,0.762,0,0.0,0.0,a,1964-04-03 23:30:00,1964-04-04 00:00:00
167,83,0.762,0,0.0,0.0,a,1964-04-03 23:30:00,1964-04-04 00:45:00
168,83,4.064,0,0.0,0.0,a,1964-04-03 23:30:00,1964-04-04 03:00:00
169,83,5.842,0,0.0,0.0,a,1964-04-03 23:30:00,1964-04-04 05:30:00
170,83,0.0,0,0.0,0.0,a,1964-04-04 07:00:00,1964-04-04 07:00:00
171,83,1.778,0,2.0,0.0,a,1964-04-04 07:00:00,1964-04-04 08:00:00
172,83,0.0,0,0.0,0.0,a,1964-07-07 20:20:00,1964-07-07 20:20:00
173,83,3.048,0,2.0,0.0,a,1964-07-07 20:20:00,1964-07-07 22:30:00
174,83,0.0,0,0.0,0.0,a,1964-07-08 20:00:00,1964-07-08 20:00:00
175,83,2.54,0,2.0,0.0,a,1964-07-08 20:00:00,1964-07-08 22:50:00
176,83,0.0,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 16:15:00
177,83,3.048,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 16:20:00
178,83,4.572,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 17:04:00
179,83,8.128,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 17:08:00
180,83,9.652,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 17:13:00
181,83,10.414,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 19:18:00
182,83,12.192,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 19:35:00
183,83,13.97,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 19:51:00
184,83,15.494,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 22:07:00
185,83,16.256,0,0.0,0.0,a,1964-07-12 16:15:00,1964-07-12 22:20:00
186,83,0.0,0,0.0,0.0,a,1964-07-13 00:01:00,1964-07-13 00:01:00
187,83,1.27,0,2.0,0.0,a,1964-07-13 00:01:00,1964-07-13 01:31:00
188,83,0.0,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 15:10:00
189,83,1.524,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 15:22:00
190,83,1.524,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 15:46:00
191,83,4.572,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 15:57:00
192,83,7.874,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 16:03:00
193,83,10.922,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 16:08:00
194,83,13.462,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 16:17:00
195,83,14.478,0,0.0,0.0,a,1964-07-13 15:10:00,1964-07-13 16:31:00
196,83,0.0,0,0.0,0.0,a,1964-07-17 19:15:00,1964-07-17 19:15:00
197,83,1.27,0,0.0,0.0,a,1964-07-17 19:15:00,1964-07-17 19:25:00
198,83,2.286,0,0.0,0.0,a,1964-07-17 19:15:00,1964-07-17 20:50:00
199,83,3.81,0,0.0,0.0,a,1964-07-17 19:15:00,1964-07-17 22:00:00
200,83,0.0,0,0.0,0.0,a,1964-07-18 19:35:00,1964-07-18 19:35:00
201,83,4.318,0,0.0,0.0,a,1964-07-18 19:35:00,1964-07-18 19:45:00
202,83,5.588,0,0.0,0.0,a,1964-07-18 19:35:00,1964-07-18 20:15:00
203,83,0.0,0,0.0,0.0,a,1964-07-20 14:15:00,1964-07-20 14:15:00
204,83,0.762,0,0.0,0.0,a,1964-07-20 14:15:00,1964-07-20 14:20:00
