flume,duration_DAP,runoffVolume_DAP,runoffPeak_DAP,runEventCode,dataType,runCalc_d,startTime,endTime,preName,missingRunDAPFlag,intervalNewHr
102,15.0,0.06347206,0.7122413999999999,0,a,,1981-06-27 16:33:00,1981-06-27 16:48:00,a19810627-163300,,7367.883333333333
102,57.0,1.82808372,7.744485399999999,0,a,,1981-07-08 18:57:00,1981-07-08 19:54:00,a19810708-185700,,266.15
102,27.0,0.39225474,2.9486351999999996,0,a,,1981-07-12 20:06:00,1981-07-12 20:33:00,a19810712-200600,,96.2
102,52.0,2.27003102,9.942067999999999,0,a,,1981-07-19 16:39:00,1981-07-19 17:31:00,a19810719-163900,,164.1
102,23.0,0.2313559,2.0192238,0,a,,1981-07-21 19:44:00,1981-07-21 20:07:00,a19810721-194400,,50.21666666666667
102,19.0,0.11782043999999998,1.0241787999999998,0,a,,1981-07-25 03:05:00,1981-07-25 03:24:00,a19810725-030500,,78.96666666666667
102,112.0,1.6600423999999998,7.179182999999999,1,a,,1981-07-28 21:13:00,1981-07-28 23:05:00,a19810728-211300,,89.81666666666666
102,44.0,6.5880107,26.765986599999998,1,a,,1981-07-30 20:02:00,1981-07-30 23:51:00,a19810730-200200,0.0,44.95
102,19.0,0.30720284,2.8866845999999997,0,a,,1981-08-01 15:17:00,1981-08-01 15:36:00,a19810801-151700,,39.43333333333333
102,30.0,4.8327208399999995,45.7604622,0,a,,1981-08-10 15:20:00,1981-08-10 15:50:00,a19810810-152000,,215.73333333333332
102,24.0,0.08847836,0.8443214,0,a,,1981-08-12 09:04:00,1981-08-12 09:28:00,a19810812-090400,,41.233333333333334
102,6.0,0.0037058599999999996,0.09540239999999998,0,a,,1981-08-13 18:26:00,1981-08-13 18:32:00,a19810813-182600,,32.96666666666667
102,19.0,0.21177758,1.5717266,0,a,,1981-08-19 03:06:00,1981-08-19 03:25:00,a19810819-030600,,128.56666666666666
102,42.0,3.78792486,26.870355199999995,0,a,,1981-08-31 16:58:00,1981-08-31 17:40:00,a19810831-165800,,301.55
102,29.0,0.9875773999999999,5.3264562,0,a,,1981-09-03 16:57:00,1981-09-03 17:26:00,a19810903-165700,,71.28333333333333
102,41.0,0.83058254,6.030976,0,a,,1982-07-06 12:09:00,1982-07-06 12:50:00,a19820706-120900,,7338.716666666666
102,145.0,0.7794370999999999,2.3072597999999997,0,a,,1982-07-20 21:49:00,1982-07-21 00:14:00,a19820720-214900,,344.98333333333335
102,17.0,0.06398768,0.5439664,0,a,,1982-07-30 21:45:00,1982-07-30 22:02:00,a19820730-214500,,237.51666666666668
102,17.0,0.03186938,0.264541,0,a,,1982-07-31 15:56:00,1982-07-31 16:13:00,a19820731-155600,,17.9
102,21.0,0.11058143999999999,0.973201,0,a,,1982-08-03 18:01:00,1982-08-03 18:22:00,a19820803-180100,,73.8
102,14.0,0.023482299999999998,0.19766279999999997,0,a,,1982-08-11 15:33:00,1982-08-11 15:47:00,a19820811-153300,,189.18333333333334
102,23.0,0.6465722399999999,6.1684662,0,a,,1982-08-12 14:52:00,1982-08-12 15:15:00,a19820812-145200,,23.083333333333332
102,94.0,4.9877091,13.493267399999999,0,a,,1982-08-23 14:29:00,1982-08-23 16:03:00,a19820823-142900,,263.23333333333335
102,41.0,0.049149,0.2565654,0,a,,1982-08-29 22:41:00,1982-08-29 23:22:00,a19820829-224100,,150.63333333333333
102,67.0,3.0615128,10.4926384,0,a,,1982-09-10 15:35:00,1982-09-10 16:42:00,a19820910-153500,,280.21666666666664
102,62.0,9.61057514,48.2177344,0,a,,1982-09-11 13:04:00,1982-09-11 14:06:00,a19820911-130400,,20.366666666666667
102,37.0,0.7691196199999999,4.992242999999999,0,a,,1983-07-24 01:17:00,1983-07-24 01:54:00,a19830724-011700,,7571.183333333333
102,28.0,0.35429698,2.0192238,0,a,,1983-07-25 16:06:00,1983-07-25 16:34:00,a19830725-160600,,38.2
102,19.0,0.07583931999999999,0.6057138,0,a,,1983-07-28 05:13:00,1983-07-28 05:32:00,a19830728-051300,,60.65
102,24.0,1.7676850599999998,17.5502062,0,a,,1983-08-07 20:47:00,1983-08-07 21:11:00,a19830807-204700,,255.25
102,25.0,0.47678339999999997,4.0243252,0,a,,1983-08-09 14:32:00,1983-08-09 14:57:00,a19830809-143200,,41.35
102,8.0,0.0002413,0.0035051999999999995,0,a,,1983-08-17 04:34:00,1983-08-17 04:42:00,a19830817-043400,,181.61666666666667
102,16.0,0.0009702799999999999,0.005588,0,a,,1983-08-28 17:26:00,1983-08-28 17:42:00,a19830828-172600,,276.73333333333335
